ward_id,emis_power_co,emis_industry_co,emis_residential_co,emis_transport_co,emis_power_nox,emis_industry_nox,emis_residential_nox,emis_transport_nox,emis_power_pm25,emis_industry_pm25,emis_residential_pm25,emis_transport_pm25,emis_power_so2,emis_industry_so2,emis_residential_so2,emis_transport_so2,emis_total_pm25,emis_total_co,emis_total_so2,emis_total_nox
211,2148.26,56552.8,49628.1,2948.08,1353.21,9357.13,1067.73,1075.98,61.2495,8330.01,3955.35,57.2499,348.707,9308.13,1937.82,1.83746,12403.859400000001,111277.24,11596.49446,12854.05
212,70.2222,56552.8,49628.1,2948.08,105.467,9357.13,1067.73,1075.98,17.3895,8330.01,3955.35,57.2499,129.778,9308.13,1937.82,1.83746,12359.9994,109199.2022,11377.56546,11606.306999999999
213,70.2222,56552.8,49628.1,2948.08,105.467,9357.13,1067.73,1075.98,17.3895,8330.01,3955.35,57.2499,129.778,9308.13,1937.82,1.83746,12359.9994,109199.2022,11377.56546,11606.306999999999
214,70.2222,56552.8,49628.1,2948.08,105.467,9357.13,1067.73,1075.98,17.3895,8330.01,3955.35,57.2499,129.778,9308.13,1937.82,1.83746,12359.9994,109199.2022,11377.56546,11606.306999999999
215,70.2222,56552.8,49628.1,2948.08,105.467,9357.13,1067.73,1075.98,17.3895,8330.01,3955.35,57.2499,129.778,9308.13,1937.82,1.83746,12359.9994,109199.2022,11377.56546,11606.306999999999
216,70.2222,56552.8,49628.1,2948.08,105.467,9357.13,1067.73,1075.98,17.3895,8330.01,3955.35,57.2499,129.778,9308.13,1937.82,1.83746,12359.9994,109199.2022,11377.56546,11606.306999999999
217,2148.26,56552.8,49628.1,2948.08,1353.21,9357.13,1067.73,1075.98,61.2495,8330.01,3955.35,57.2499,348.707,9308.13,1937.82,1.83746,12403.859400000001,111277.24,11596.49446,12854.05
68,405.298,8156.35,38818.6,401.157,221.78,1349.53,835.43,381.819,3.13224,1201.4,3093.84,13.014,0.985225,1342.47,1516.19,0.350766,4311.386240000001,47781.405,2859.9959910000002,2788.5589999999997
67,405.298,8156.35,38818.6,401.157,221.78,1349.53,835.43,381.819,3.13224,1201.4,3093.84,13.014,0.985225,1342.47,1516.19,0.350766,4311.386240000001,47781.405,2859.9959910000002,2788.5589999999997
66,405.298,8156.35,38818.6,401.157,221.78,1349.53,835.43,381.819,3.13224,1201.4,3093.84,13.014,0.985225,1342.47,1516.19,0.350766,4311.386240000001,47781.405,2859.9959910000002,2788.5589999999997
65,405.298,8156.35,38818.6,401.157,221.78,1349.53,835.43,381.819,3.13224,1201.4,3093.84,13.014,0.985225,1342.47,1516.19,0.350766,4311.386240000001,47781.405,2859.9959910000002,2788.5589999999997
64,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
63,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
62,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
61,405.298,8156.35,38818.6,401.157,221.78,1349.53,835.43,381.819,3.13224,1201.4,3093.84,13.014,0.985225,1342.47,1516.19,0.350766,4311.386240000001,47781.405,2859.9959910000002,2788.5589999999997
60,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
59,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
58,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
57,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
56,405.298,8156.35,38818.6,401.157,221.78,1349.53,835.43,381.819,3.13224,1201.4,3093.84,13.014,0.985225,1342.47,1516.19,0.350766,4311.386240000001,47781.405,2859.9959910000002,2788.5589999999997
55,405.298,8156.35,38818.6,401.157,221.78,1349.53,835.43,381.819,3.13224,1201.4,3093.84,13.014,0.985225,1342.47,1516.19,0.350766,4311.386240000001,47781.405,2859.9959910000002,2788.5589999999997
54,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
