ward_id,ward_name,ward_lat,ward_lon,point_id,dist_to_grid_km,nearest_station_id,dist_to_station_km,road_km_3km,road_capacity_3km,industry_count_5km,vulnerable_sites_3km
234,GANDHI NAGAR,28.66307,77.26134,22,4.6,7434,2.54,115.08,719.0,25.0,36.0
235,AZAD NAGAR,28.66516,77.27735,22,5.32,7434,1.35,115.08,719.0,25.0,36.0
236,RAGHUBAR PURA,28.66725,77.27066,22,4.71,7434,1.97,115.08,719.0,25.0,36.0
237,SHAHDARA,28.66969,77.28915,22,5.86,5759,1.31,115.08,719.0,25.0,36.0
238,JHILMIL,28.66977,77.30074,23,5.1,5759,0.93,66.54,310.9,36.0,36.0
239,VIVEK VIHAR,28.67336,77.31626,23,3.76,6938,0.15,66.54,310.9,36.0,36.0
240,DILSHAD COLONY,28.68018,77.32611,23,2.59,6938,1.37,66.54,310.9,36.0,36.0
103,PUNJABI BAGH,28.66549,77.12452,21,4.12,5540,0.58,135.07,435.8,59.0,163.0
96,NEW RANJIT NAGAR,28.64869,77.16234,15,5.84,2503,0.53,82.28,398.0,24.0,61.0
97,KIRTI NAGAR,28.65595,77.13897,21,4.9,5630,0.95,135.07,435.8,59.0,163.0
98,MANSAROWER GARDEN,28.64544,77.13519,15,5.07,6356,1.26,82.28,398.0,24.0,61.0
122,HASTSAL,28.64659,77.03,14,5.27,5622,4.18,124.23,323.1,16.0,115.0
71,SANGAM PARK,28.70055,77.1833,21,4.22,5762,0.57,135.07,435.8,59.0,163.0
72,MODEL TOWN,28.70452,77.18788,21,4.7,5762,1.17,135.07,435.8,59.0,163.0
69,KAMLA NAGAR,28.67635,77.19362,22,5.23,8917,2.42,115.08,719.0,25.0,36.0
74,INDER LOK COLONY,28.66342,77.17583,21,5.36,5610,1.81,135.07,435.8,59.0,163.0
75,KISHAN GANJ,28.6671,77.19441,22,5.76,16,3.36,115.08,719.0,25.0,36.0
76,DEPUTY GANJ,28.66337,77.20762,22,5.15,11603,2.05,115.08,719.0,25.0,36.0
77,KASHMERE GATE,28.67232,77.22778,22,3.3,16,0.73,115.08,719.0,25.0,36.0
78,MAJNU KA TILA,28.68349,77.22042,22,2.65,16,0.78,115.08,719.0,25.0,36.0
79,JAMA MASJID,28.6521,77.23387,22,5.36,11603,0.83,115.08,719.0,25.0,36.0
114,TILAK NAGAR,28.63904,77.0949,15,6.18,5581,3.23,82.28,398.0,24.0,61.0
115,MAJOR BHUPINDAR SINGH NAGAR,28.65394,77.09458,21,6.77,5540,3.76,135.07,435.8,59.0,163.0
